"code","iso","country","PACOVW.1990","PACOVW.1991","PACOVW.1992","PACOVW.1993","PACOVW.1994","PACOVW.1995","PACOVW.1996","PACOVW.1997","PACOVW.1998","PACOVW.1999","PACOVW.2000","PACOVW.2001","PACOVW.2002","PACOVW.2003","PACOVW.2004","PACOVW.2005","PACOVW.2006","PACOVW.2007","PACOVW.2008","PACOVW.2009","PACOVW.2010","PACOVW.2011","PACOVW.2012"
136,"CYM","Cayman Islands",8.086142716,8.086142716,9.114612065,9.114612065,9.114612065,9.114612065,9.114612065,10.3448698,10.3448698,10.3448698,10.3448698,10.3448698,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525
140,"CAF","Central African Republic",16.41011467,16.41011467,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963
148,"TCD","Chad",8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067
152,"CHL","Chile",6.958982346,6.958982346,6.958982346,6.95923668,6.95923668,7.686371275,7.686371275,7.704557572,7.810068251,7.810068251,7.81021079,7.81021079,7.81021079,7.81021079,7.844403434,7.834928785,7.844403434,7.844403434,7.844403434,7.855879842,8.056814886,8.056814886,8.056814886
156,"CHN","China",10.9703715,10.9703715,11.3734216,11.42840646,11.42840646,11.67370745,11.67370745,12.09130226,12.40052083,12.58260301,12.96598429,13.38839623,13.65739651,13.6624715,13.66697907,13.66603297,13.66697907,13.66959678,13.66981927,13.66981927,13.66981927,13.66981927,13.66981927
170,"COL","Colombia",12.92798536,12.92798536,12.93160733,12.93160733,12.93160733,12.93160733,12.93160733,12.93160733,12.93160733,12.93160733,12.93238413,12.93348284,13.01150776,13.01150776,13.01225961,13.01150776,13.01225961,13.01254038,13.01254038,13.01254038,13.01254038,13.12807852,13.12807852
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"COG","Congo",5.446732307,5.446732307,5.446732307,6.810109329,6.810109329,6.810109329,6.810109329,6.810109329,6.810109329,7.817408479,7.817408479,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503
184,"COK","Cook Islands",0.16148743,0.16148743,0.16148743,0.17021648,0.17021648,0.17021648,0.17021648,0.846717877,1.078037709,1.078037709,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492
188,"CRI","Costa Rica",14.10999526,14.10999526,14.6476019,14.67060894,14.67060894,14.8904177,14.8904177,14.8904177,14.90272815,14.90272815,14.90272815,14.90272815,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867
384,"CIV","Cote d'Ivoire",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
191,"HRV","Croatia",6.21574002,6.21574002,6.230965121,6.234274871,6.234274871,6.397727126,6.397727126,6.453619799,6.490338331,7.480627909,7.488862234,7.619908554,7.620710995,7.654505436,7.961161086,7.654530512,7.961161086,9.102966636,9.200119928,9.208411811,9.380273608,9.380273608,9.380273608
192,"CUB","Cuba",4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068617468,4.068617468,8.600547695,8.722758246,8.722758246,8.722758246,8.722758246,8.722758246,8.722758246,8.722758246,8.722758246,9.220790416,9.220790416,9.220790416
196,"CYP","Cyprus",7.078619027,7.078619027,10.24071223,10.24071223,10.24071223,10.24071223,10.24071223,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
203,"CZE","Czech Republic",14.78876616,14.78876616,16.01795842,16.02360805,16.02360805,16.08151987,16.08151987,16.1057291,16.13381865,16.14301914,16.15334223,16.15719814,16.16697213,16.16705754,16.72699376,16.72328428,16.72699376,16.72908034,16.72919016,16.72928778,16.72958063,16.72958063,16.72958063
180,"COD","Dem. Rep. Congo",9.921455734,9.921455734,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,10.1136264,10.1136264,10.1136264,10.1579661
208,"DNK","Denmark",4.38821999,4.38821999,11.8142113,11.82379043,11.82379043,11.85899142,11.85899142,11.93688002,11.94213459,11.94787742,11.95945608,11.98526394,12.01521036,12.03278761,12.07263867,12.06159476,12.07263867,12.16680249,12.31713909,12.4815189,12.7062798,12.7062798,12.7062798
262,"DJI","Djibouti",0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526
212,"DMA","Dominica",14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751
214,"DOM","Dominican Republic",16.35236213,16.35236213,16.4481851,16.4481851,16.4481851,16.45089978,16.45089978,16.46961074,16.46961074,16.46961074,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544
