"code","iso","country","PACOVD.1990","PACOVD.1991","PACOVD.1992","PACOVD.1993","PACOVD.1994","PACOVD.1995","PACOVD.1996","PACOVD.1997","PACOVD.1998","PACOVD.1999","PACOVD.2000","PACOVD.2001","PACOVD.2002","PACOVD.2003","PACOVD.2004","PACOVD.2005","PACOVD.2006","PACOVD.2007","PACOVD.2008","PACOVD.2009","PACOVD.2010","PACOVD.2011","PACOVD.2012"
136,"CYM","Cayman Islands",6.410665532,6.410665532,7.314824664,7.314824664,7.314824664,7.314824664,7.314824664,8.080700635,8.080700635,8.080700635,8.080700635,8.080700635,8.087792079,8.087792079,8.087792079,8.087792079,8.087792079,8.087792079,8.087792079,8.087792079,8.087792079,8.087792079,8.087792079
140,"CAF","Central African Republic",16.40626782,16.40626782,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572,16.49006572
148,"TCD","Chad",9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994,9.408484994
152,"CHL","Chile",9.454821032,9.454821032,9.454821032,9.454941124,9.454941124,9.945339446,9.945339446,9.953926695,10.1091016,10.1091016,10.10916891,10.10916891,10.10916891,10.10916891,10.14910285,10.14462909,10.14910285,10.14910285,10.14910285,10.16826481,10.30866838,10.30866838,10.30866838
156,"CHN","China",8.239224989,8.239224989,8.360576867,8.41893414,8.41893414,8.603492989,8.603492989,9.078694165,9.209487269,9.453227654,9.928723728,10.59874625,10.91339972,10.92168249,10.93080522,10.92870314,10.93080522,10.93620201,10.9365835,10.9365835,10.9365835,10.9365835,10.9365835
170,"COL","Colombia",15.13388217,15.13388217,15.13489668,15.13489668,15.13489668,15.13489668,15.13489668,15.13489668,15.13489668,15.13489668,15.13511426,15.1360309,15.13866733,15.13866733,15.13887792,15.13866733,15.13887792,15.13895656,15.13895656,15.13895656,15.13895656,15.17169002,15.17169002
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"COG","Congo",5.429159799,5.429159799,5.429159799,6.775640111,6.775640111,6.775640111,6.775640111,6.775640111,6.775640111,7.789617921,7.789617921,9.34993893,9.34993893,9.34993893,9.34993893,9.34993893,9.34993893,9.34993893,9.34993893,9.34993893,9.34993893,9.34993893,9.34993893
184,"COK","Cook Islands",0.16148743,0.16148743,0.16148743,0.17021648,0.17021648,0.17021648,0.17021648,0.846717877,1.078037709,1.078037709,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492
188,"CRI","Costa Rica",15.49801252,15.49801252,15.77640781,15.78832182,15.78832182,15.90668452,15.90668452,15.90668452,15.91305939,15.91305939,15.91305939,15.91305939,16.05544447,16.05544447,16.05544447,16.05544447,16.05544447,16.05544447,16.05544447,16.05544447,16.05544447,16.05544447,16.05544447
384,"CIV","Cote d'Ivoire",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
191,"HRV","Croatia",7.176749627,7.176749627,7.195715153,7.200156652,7.200156652,7.516410854,7.516410854,7.548084903,7.577051908,9.023878408,9.034349972,9.286072755,9.287628901,9.35316533,9.617888414,9.35321396,9.617888414,11.83210549,11.88135102,11.89743119,12.23013839,12.23013839,12.23013839
192,"CUB","Cuba",4.286030249,4.286030249,4.286030249,4.286030249,4.286030249,4.286030249,4.286030249,4.286030249,4.286030249,4.288438813,4.288438813,6.047328458,6.217249037,6.217249037,6.217249037,6.217249037,6.217249037,6.217249037,6.217249037,6.217249037,6.318570485,6.318570485,6.318570485
196,"CYP","Cyprus",7.078619027,7.078619027,10.24071223,10.24071223,10.24071223,10.24071223,10.24071223,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
203,"CZE","Czech Republic",14.69969489,14.69969489,15.97840056,15.98427777,15.98427777,16.04452234,16.04452234,16.06970675,16.09892778,16.10849888,16.1192378,16.12324902,16.13341672,16.13350558,16.71599672,16.71213782,16.71599672,16.71816736,16.7182816,16.71838315,16.7186878,16.7186878,16.7186878
